j,eta
17.357691173187643,-3.506692615007354
17.343605006270085,-3.504547487921294
17.329518880081533,-3.5024016115805385
17.315432794700772,-3.5002549848580786
17.30134675020685,-3.498107606623775
17.287260746679067,-3.4959594757443657
17.273174784196982,-3.4938105910834327
17.259088862840418,-3.4916609515014065
17.245002982689453,-3.4895105558555417
17.230917143824428,-3.4873594029999118
17.216831346325947,-3.485207491785386
17.202745590274876,-3.4830548210596266
17.18865987575235,-3.4809013896670717
17.174574202839768,-3.4787471964489205
17.1604885716188,-3.4765922402431153
17.146402982171377,-3.474436519884343
17.13231743457971,-3.4722800342040046
17.11823192892628,-3.470122782030211
17.104146465293837,-3.467964762187766
17.090061043765402,-3.4658059734981537
17.07597566442428,-3.4636464147795296
17.06189032735405,-3.4614860848466904
17.047805032638564,-3.4593249825110792
17.03371978036196,-3.457163106580761
17.019634570608652,-3.4550004558604113
17.005549403463338,-3.4528370291512966
16.991464279011,-3.4506728252512704
16.977379197336905,-3.448507842954749
16.963294158526605,-3.446342081052701
16.949209162665937,-3.4441755383326336
16.93512420984103,-3.4420082135785726
16.921039300138307,-3.4398401055710606
16.906954433644476,-3.4376712130871203
16.89286961044654,-3.435501534900265
16.878784830631798,-3.4333310697804604
16.86470009428784,-3.431159816494125
16.850615401502562,-3.428987773804112
16.836530752364155,-3.4268149404696877
16.822446146961106,-3.4246413152465207
16.808361585382208,-3.422466896886666
16.794277067716553,-3.4202916841385504
16.780192594053545,-3.418115675746954
16.766108164482887,-3.415938870452999
16.752023779094596,-3.4137612669941255
16.73793943797899,-3.41158286410409
16.723855141226707,-3.4094036605129303
16.709770888928688,-3.407223654946965
16.695686681176195,-3.405042846128773
16.681602518060803,-3.4028612327771697
16.6675183996744,-3.400678813607202
16.6534343261092,-3.3984955873301272
16.639350297457728,-3.396311552653391
16.62526631381284,-3.3941267082806195
16.611182375267706,-3.3919410529115988
16.59709848191583,-3.3897545852422497
16.583014633851032,-3.387567303964631
16.56893083116747,-3.3853792077669036
16.55484707395963,-3.383190295333316
16.540763362322316,-3.3810005653441966
16.526679696350683,-3.378810016475931
16.512596076140213,-3.3766186474009405
16.498512501786724,-3.3744264567876674
16.484428973386372,-3.372233443300563
16.47034549103565,-3.3700396056000557
16.456262054831402,-3.3678449423425496
16.442178664870806,-3.365649452180401
16.428095321251387,-3.363453133761884
16.41401202407102,-3.361255985731205
16.399928773427927,-3.3590580067284495
16.385845569420674,-3.3568591953895877
16.37176241214819,-3.35465955034645
16.357679301709748,-3.352459070226699
16.34359623820498,-3.3502577536538234
16.32951322173388,-3.3480555992471097
16.315430252396794,-3.3458526056216313
16.301347330294437,-3.3436487713882213
16.28726445552788,-3.3414440951534585
16.27318162819856,-3.339238575519647
16.259098848408286,-3.337032211084795
16.24501611625923,-3.3348250004425957
16.230933431853934,-3.332616942182406
16.21685079529532,-3.3304080348892406
16.202768206686674,-3.328198277143725
16.18868566613167,-3.325987667522096
16.174603173734347,-3.323776204596179
16.16052072959914,-3.321563886933362
16.14643833383085,-3.319350713096577
16.132355986534677,-3.3171366816442824
16.118273687816195,-3.3149217911304376
16.104191437781374,-3.3127060401044846
16.090109236536573,-3.3104894271113294
16.076027084188546,-3.3082719506913145
16.061944980844434,-3.306053609380203
16.04786292661178,-3.303834401709158
16.033780921598527,-3.3016143262047164
16.019698965913015,-3.299393381388767
16.00561705966399,-3.297171565778534
15.991535202960604,-3.2949488778865508
15.977453395912411,-3.292725316220643
15.963371638629381,-3.2905008792838983
15.949289931221891,-3.2882755655746485
15.935208273800734,-3.2860493735864478
15.921126666477122,-3.2838223018080503
15.907045109362679,-3.281594348723383
15.892963602569454,-3.279365512811529
15.87888214620992,-3.2771357925466966
15.864800740396971,-3.2749051863982084
15.850719385243933,-3.272673692830465
15.836638080864558,-3.2704413103029224
15.822556827373035,-3.268208037270082
15.80847562488398,-3.2659738721814517
15.794394473512455,-3.26373881348153
15.780313373373955,-3.2615028596097724
15.76623232458442,-3.2592660090005845
15.752151327260233,-3.2570282600832816
15.738070381518222,-3.25478961128207
15.723989487475666,-3.2525500610160214
15.709908645250298,-3.2503096076990476
15.6958278549603,-3.2480682497398785
15.681747116724313,-3.2458259855420324
15.667666430661438,-3.2435828135037936
15.653585796891237,-3.2413387320181872
15.639505215533735,-3.23909373947295
15.625424686709426,-3.2368478342505043
15.611344210539272,-3.2346010147279394
15.597263787144708,-3.2323532792769734
15.583183416647643,-3.2301046262639423
15.569103099170464,-3.2278550540497544
15.555022834836038,-3.2256045609898765
15.540942623767714,-3.22335314543431
15.526862466089327,-3.2211008057275476
15.5127823619252,-3.218847540208561
15.49870231140015,-3.2165933472107695
15.484622314639482,-3.214338225062012
15.470542371769005,-3.212082172084508
15.45646248291502,-3.209825186594857
15.442382648204335,-3.207567266903969
15.42830286776426,-3.205308411317087
15.41422314172262,-3.203048618133708
15.400143470207741,-3.2007878856475935
15.386063853348473,-3.1985262121467137
15.371984291274174,-3.196263595913234
15.357904784114728,-3.1940000352234796
15.34382533200054,-3.191735528347906
15.32974593506254,-3.189470073551072
15.315666593432189,-3.1872036690915984
15.301587307241478,-3.184936313222158
15.287508076622936,-3.1826680041894293
15.273428901709627,-3.180398740234072
15.259349782635157,-3.178128519590687
15.24527071953368,-3.175857340487804
15.231191712539895,-3.1735852011478314
15.21711276178905,-3.171312099787033
15.203033867416952,-3.1690380346155
15.188955029559963,-3.1667630038371084
15.174876248355007,-3.1644870056494994
15.160797523939571,-3.162210038244033
15.14671885645171,-3.159932099805768
15.132640246030048,-3.157653188513427
15.118561692813788,-3.15537330253935
15.104483196942708,-3.153092440049481
15.090404758557165,-3.1508105992033206
15.076326377798106,-3.148527778153899
15.06224805480706,-3.146243975047735
15.048169789726154,-3.143959188024809
15.034091582698107,-3.141673415218527
15.020013433866236,-3.139386654755677
15.00593534337446,-3.13709890475641
14.99185731136731,-3.1348101633341945
14.97777933798992,-3.1325204285957753
14.963701423388041,-3.1302296986411546
14.949623567708041,-3.1279379715635387
14.935545771096908,-3.125645245449313
14.921468033702258,-3.1233515183779996
14.90739035567233,-3.1210567884222242
14.893312737156002,-3.1187610536476775
14.879235178302784,-3.1164643121130777
14.865157679262829,-3.1141665618701304
14.851080240186933,-3.1118678009634952
14.83700286122654,-3.109568027430745
14.822925542533751,-3.107267239302328
14.808848284261316,-3.1049654346015307
14.79477108656265,-3.102662611344432
14.780693949591832,-3.100358767539876
14.76661687350361,-3.0980539011894206
14.752539858453405,-3.095748010287305
14.738462904597315,-3.093441092820405
14.72438601209212,-3.0911331467681946
14.710309181095285,-3.0888241701027046
14.696232411764965,-3.0865141607884876
14.682155704260012,-3.0842031167825623
14.668079058739973,-3.0818910360343854
14.654002475365102,-3.0795779164858073
14.63992595429636,-3.0772637560710203
14.625849495695416,-3.074948552716531
14.611773099724664,-3.0726323043411
14.597696766547212,-3.0703150088557143
14.5836204963269,-3.067996664163537
14.569544289228293,-3.0656772681598605
14.555468145416699,-3.0633568187320663
14.541392065058158,-3.0610353137595827
14.527316048319463,-3.0587127511138315
14.51324009536815,-3.056389128658195
14.499164206372516,-3.0540644442479503
14.485088381501612,-3.0517386957302532
14.471012620925258,-3.049411880944056
14.456936924814041,-3.047083997720096
14.442861293339327,-3.0447550438808246
14.428785726673256,-3.0424250172403666
14.414710224988756,-3.0400939156044764
14.400634788459547,-3.037761736770483
14.38655941726014,-3.03542847852725
14.37248411156585,-3.033094138655118
14.358408871552797,-3.0307587149258586
14.344333697397913,-3.02842220510263
14.330258589278946,-3.026084606939915
14.316183547374466,-3.023745918183486
