j,eta
15.565946909262522,-3.1480825179222665
15.551849747708612,-3.1461543816565474
15.53775270032708,-3.1442238835558403
15.523655767045568,-3.1422910286341548
15.509558947792405,-3.1403558218740066
15.49546224249659,-3.138418268226626
15.481365651087671,-3.136478372615018
15.467269173495934,-3.1345361399300438
15.45317280965235,-3.132591575031604
15.439076559488521,-3.130644682750301
15.424980422936782,-3.128695467885154
15.41088439993014,-3.1267439352053072
15.396788490402262,-3.1247900894503546
15.382692694287611,-3.122833935327762
15.36859701152135,-3.120875477514984
15.354501442039362,-3.1189147206593097
15.340405985778261,-3.1169516693777894
15.326310642675423,-3.114986328256836
15.312215412669,-3.1130187018520945
15.29812029569789,-3.1110487946891014
15.284025291701747,-3.1090766112636015
15.269930400621108,-3.1071021560387693
15.255835622397178,-3.1051254334500538
15.24174095697209,-3.1031464478999267
15.227646404288631,-3.101165203763642
15.213551964290582,-3.099181705382565
15.19945763692244,-3.0971959570699967
15.185363422129617,-3.095207963107306
15.171269319858268,-3.093217727747494
15.157175330055528,-3.091225255210756
15.143081452669298,-3.0892305496889025
15.128987687648392,-3.087233615342538
15.11489403494256,-3.0852344563007486
15.100800494502314,-3.0832330766649454
15.086707066279203,-3.0812294805033185
15.072613750225615,-3.079223671855085
15.058520546294828,-3.077215654729685
15.044427454441141,-3.0752054331041365
15.030334474619718,-3.073193010926667
15.016241606786693,-3.0711783921144358
15.002148850899053,-3.0691615805563197
14.988056206914962,-3.067142580106324
14.9739636747934,-3.065121394591256
14.95987125449428,-3.063098027808481
14.945778945978653,-3.061072483521842
14.931686749208447,-3.059044765467186
14.917594664146662,-3.0570148773486747
14.9035026907573,-3.0549828228402127
14.889410829005374,-3.052948605585528
14.87531907885693,-3.050912229197941
14.861227440279036,-3.048873697260616
14.847135913239857,-3.046833013325399
14.83304449770856,-3.0447901809147844
14.818953193655407,-3.0427452035202225
14.804862001051825,-3.040698084600854
14.790770919870118,-3.0386488275896175
14.776679950083848,-3.03659743588561
14.762589091667666,-3.034543912857664
14.74849834459729,-3.032488261845009
14.734407708849577,-3.0304304861560794
14.720317184402505,-3.0283705890687953
14.706226771235155,-3.0263085738313045
14.692136469327854,-3.024244443659205
14.678046278662004,-3.0221782017392225
14.6639561992202,-3.02010985122679
14.649866230986152,-3.018039395248087
14.635776373944864,-3.015966836896355
14.621686628082466,-3.0138921792356337
14.607596993386258,-3.0118154252998712
14.593507469844857,-3.0097365780902097
14.579418057447972,-3.007655640579744
14.56532875618661,-3.0055726157094944
14.551239566053011,-3.0034875063897655
14.537150487040638,-3.0014003155007396
14.523061519144262,-2.9993110458907775
14.508972662359827,-2.997219700379276
14.494883916684634,-2.995126281753341
14.480795282117242,-2.993030792769612
14.4667067586575,-2.990933236154139
14.452618346306542,-2.9888336146024166
14.438530045066841,-2.986731930778489
14.42444185494219,-2.9846281873156624
14.41035377593763,-2.9825223868178843
14.396265808059676,-2.980414531855521
14.382177951316104,-2.978304624969822
14.368090205716085,-2.9761926686702527
14.354002571270112,-2.974078665436286
14.339915047990068,-2.9719626177160654
14.32582763588924,-2.969844527926445
14.311740334982376,-2.9677243984519
14.297653145285475,-2.9656022316488975
14.283566066816089,-2.963478029840048
14.26947909959309,-2.9613517953190134
14.255392243636875,-2.959223530346411
14.241305498969208,-2.9570932371532495
14.227218865613366,-2.9549609179381586
14.213132343594067,-2.9528265748690585
14.199045932937523,-2.9506902100821217
14.18495963367136,-2.948551825683613
14.170873445824729,-2.94641142374787
14.15678736942836,-2.9442690063164316
14.14270140451442,-2.9421245754009115
14.128615551116589,-2.939978132981762
14.114529809270126,-2.9378296810070252
14.100444179011788,-2.9356792213942184
14.086358660379927,-2.933526756028573
14.072273253414444,-2.931372286764016
14.058187958156793,-2.929215815423355
14.044102774650069,-2.927057343796671
14.030017702938872,-2.924896873644154
