r,v,eta,stable
0.06111951969713031,-2.6039953173808725,-7.660715556755414,true
0.06118689635069972,-2.6011278980336003,-7.646719604113491,true
0.06125450895211295,-2.5982567783919093,-7.632724031336812,true
0.06132235894021881,-2.595381942939448,-7.618728840523962,true
0.06139044776658224,-2.5925033760469,-7.604734033791565,true
0.061458776895632776,-2.5896210619708055,-7.590739613274489,true
0.06152734780481534,-2.586734984852367,-7.576745581126069,true
0.061596161984743186,-2.5838451287162436,-7.562751939518317,true
0.06166522093935299,-2.580951477469323,-7.548758690642148,true
0.06173452618606243,-2.57805401489948,-7.534765836707604,true
0.061804079255929886,-2.5751527246743184,-7.520773379944078,true
0.06187388169381662,-2.5722475903398916,-7.50678132260055,true
0.06194393505855142,-2.5693385953194112,-7.492789666945818,true
0.06201424092309751,-2.566425722911933,-7.478798415268739,true
0.06208480087472217,-2.5635089562910283,-7.4648075698784675,true
0.06215561651516873,-2.5605882785034315,-7.450817133104706,true
0.062226689460831285,-2.5576636724676756,-7.436827107297949,true
0.062298021342931935,-2.5547351209727047,-7.422837494829742,true
0.06236961380770081,-2.551802606676464,-7.4088482980929316,true
0.06244146851655876,-2.548866112104479,-7.3948595195019315,true
0.0625135871463028,-2.5459256196484024,-7.380871161492988,true
0.06258597138929449,-2.542981111564552,-7.366883226524446,true
0.06265862295365113,-2.54003256997242,-7.3528957170770255,true
0.06273154356343993,-2.5370799768531627,-7.338908635654098,true
0.0628047349588751,-2.5341233140480717,-7.324921984781969,true
0.06287819889651809,-2.531162563257018,-7.310935767010163,true
0.06295193714948089,-2.5281977060368788,-7.296949984911717,true
0.06302595150763242,-2.525228723799937,-7.282964641083477,true
0.06310024377780835,-2.5222555978122605,-7.2689797381463945,true
0.06317481578402394,-2.5192783091920545,-7.254995278745837,true
0.06324966936769044,-2.5162968389079956,-7.241011265551894,true
0.06332480638783479,-2.513311167777535,-7.2270277012596935,true
0.06340022872132281,-2.5103212764651786,-7.2130445885897245,true
0.06347593826308597,-2.507327145480745,-7.199061930288159,true
0.06355193692635171,-2.504328755177594,-7.185079729127185,true
0.06362822664287751,-2.501326085750828,-7.171097987905345,true
0.0637048093631886,-2.498319117235471,-7.157116709447871,true
0.06378168705681968,-2.4953078295046156,-7.14313589660704,true
0.06385886171256022,-2.4922922022675453,-7.129155552262521,true
0.06393633533870412,-2.489272215067826,-7.115175679321737,true
0.06401410996330312,-2.486247847281371,-7.10119628072023,true
0.06409218763442442,-2.483219078114475,-7.08721735942203,true
0.06417057042041259,-2.4801858866018174,-7.073238918420034,true
0.06424926041015568,-2.4771482516044374,-7.059260960736391,true
0.0643282597133557,-2.4741061518076775,-7.045283489422888,true
0.06440757046080368,-2.4710595657190915,-7.031306507561351,true
0.06448719480465911,-2.4680084716663258,-7.017330018264044,true
0.0645671349187341,-2.4649528477949647,-7.003354024674084,true
0.06464739299878243,-2.461892672066341,-6.9893785299658555,true
0.06472797126279307,-2.458827922255317,-6.975403537345435,true
0.06480887195128904,-2.455758575948023,-6.961429050051023,true
0.06489009732763097,-2.45268461053957,-6.947455071353384,true
0.06497164967832597,-2.449606003231717,-6.933481604556294,true
0.0650535313133417,-2.446522731030507,-6.919508652996994,true
0.06513574456642572,-2.4434347707438646,-6.90553622004665,true
0.06521829179543037,-2.4403420989791518,-6.891564309110829,true
0.06530117538264318,-2.4372446921406894,-6.877592923629976,true
0.06538439773512293,-2.434142526427235,-6.863622067079898,true
0.06546796128504156,-2.4310355778294235,-6.849651742972266,true
0.06555186849003197,-2.4279238221271595,-6.835681954855114,true
0.06563612183354182,-2.424807234886978,-6.821712706313359,true
0.0657207238251936,-2.4216857914593506,-6.8077440009693175,true
0.06580567700115082,-2.418559466975957,-6.793775842483245,true
0.06589098392449093,-2.415428236346904,-6.779808234553874,true
0.06597664718558441,-2.412292074257904,-6.765841180918966,true
0.06606266940248094,-2.4091509551674037,-6.751874685355874,true
0.06614905322130206,-2.406004853303667,-6.7379087516821174,true
0.06623580131664125,-2.402853742661808,-6.7239433837559615,true
0.06632291639197073,-2.399697597000773,-6.709978585477013,true
0.06641040118005583,-2.396536389840276,-6.696014360786823,true
0.06649825844337666,-2.393370094457676,-6.682050713669506,true
0.06658649097455763,-2.390198683884809,-6.668087648152363,true
0.06667510159680443,-2.387022130904758,-6.654125168306522,true
0.0667640931643492,-2.383840408048576,-6.640163278247592,true
0.0668534685629038,-2.380653487591944,-6.6262019821363225,true
0.06694323071012134,-2.377461341551779,-6.612241284179279,true
0.06703338255606613,-2.374263941682781,-6.598281188629536,true
0.06712392708369253,-2.3710612594739167,-6.584321699787374,true
0.06721486730933249,-2.367853266144846,-6.570362822000997,true
0.0673062062831922,-2.3646399326422847,-6.5564045596672615,true
0.06739794708985812,-2.3614212296363046,-6.542446917232419,true
0.06749009284881231,-2.358197127516563,-6.5284898991928735,true
0.06758264671495769,-2.3549675963884744,-6.514533510095953,true
0.06767561187915302,-2.3517326060693047,-6.5005777545407,true
0.06776899156875817,-2.3484921260842038,-6.486622637178669,true
0.06786278904818972,-2.3452461256621593,-6.472668162714748,true
0.06795700761948716,-2.341994573731886,-6.458714335907994,true
0.06805165062289001,-2.3387374389176334,-6.444761161572484,true
0.06814672143742603,-2.3354746895349217,-6.43080864457818,true
0.06824222348151081,-2.332206293586198,-6.416856789851818,true
0.06833816021355903,-2.3289322187564143,-6.40290560237781,true
0.06843453513260753,-2.325652432408525,-6.388955087199167,true
0.0685313517789508,-2.322366901578896,-6.375005249418438,true
