r,v,eta,stable
0.04394329454660639,-2.687686845946327,-8.24780314889691,true
0.04394589225159104,-2.684874322830591,-8.233801546951922,true
0.043948659874880794,-2.6820591713997115,-8.219800209124802,true
0.04395159873911658,-2.6792413805578357,-8.205799136784936,true
0.043954710176893945,-2.67642093913453,-8.191798331312462,true
0.04395799553122797,-2.6735978358834642,-8.177797794098446,true
0.043961456155493704,-2.6707720594818047,-8.163797526544986,true
0.04396509341364652,-2.6679435985296935,-8.149797530065317,true
0.043968908680116665,-2.6651124415494407,-8.135797806083929,true
0.04397290334027651,-2.662278576984287,-8.121798356036738,true
0.04397707879025204,-2.6594419931984805,-8.107799181371133,true
0.0439814364371221,-2.6566026784758847,-8.093800283546159,true
0.04398597769914895,-2.6537606210191593,-8.079801664032644,true
0.04399070400570431,-2.65091580894969,-8.065803324313263,true
0.043995616797519455,-2.6480682303060328,-8.05180526588274,true
0.044000717526864554,-2.645217873043287,-8.037807490247964,true
0.044006007657469336,-2.6423647250326323,-8.023809998928083,true
0.04401148866499756,-2.6395087740595673,-8.009812793454742,true
0.04401716203658402,-2.6366500078246946,-7.995815875372046,true
0.044023029271677006,-2.633788413941241,-7.981819246236876,true
0.044029091881642855,-2.63092397993498,-7.967822907618942,true
0.04403535139008105,-2.6280566932434795,-7.953826861100918,true
0.04404180933307735,-2.6251865412145436,-7.93983110827866,true
0.044048467259087634,-2.622313511106073,-7.925835650761269,true
0.0440553267293149,-2.6194375900847566,-7.911840490171289,true
0.04406238931764493,-2.6165587652253937,-7.8978456281448315,true
0.0440696566110697,-2.6136770235091897,-7.8838510663318075,true
0.044077130209421854,-2.6107923518242426,-7.869856806395941,true
0.04408481172597875,-2.6079047369630075,-7.855862850015086,true
0.04409270278719844,-2.605014165622739,-7.841869198881247,true
0.044100805033189396,-2.602120624403466,-7.827875854700845,true
0.044109120117639046,-2.59922409980761,-7.8138828191948235,true
0.04411764970819799,-2.5963245782383977,-7.799890094098876,true
0.04412639548640536,-2.593422045999443,-7.785897681163553,true
0.04413535914801129,-2.5905164892934973,-7.77190558215446,true
0.044144542402953645,-2.587607894221445,-7.757913798852425,true
0.04415394697580992,-2.5846962467808585,-7.74392233305372,true
0.04416357460573555,-2.5817815328654112,-7.729931186570188,true
0.04417342704666119,-2.5788637382636947,-7.71594036122944,true
0.044183506067553315,-2.5759428486578204,-7.701949858875068,true
0.04419381345257366,-2.5730188496226396,-7.6879596813668,true
0.044204351001058254,-2.5700917266245837,-7.6739698305806945,true
0.04421512052812322,-2.5671614650198964,-7.659980308409401,true
0.0442261238644049,-2.564228050054364,-7.645991116762261,true
