j,eta
19.261502287931993,-9.254272702507139
19.255273443411234,-9.248484215276298
19.24904422724035,-9.242696929544199
19.2428146393103,-9.236910845985209
19.236584679511893,-9.231125965274687
19.23035434773607,-9.225342288088017
19.22412364387374,-9.219559815101228
19.217892567816268,-9.213778546989294
19.211661119454217,-9.20799848443032
19.205429298679146,-9.202219628099662
19.199197105381963,-9.19644197867527
19.19296453945393,-9.190665536834429
19.186731600786448,-9.184890303254466
19.18049828927068,-9.17911627861399
19.174264604798033,-9.173343463591292
19.168030547259853,-9.167571858865355
19.161796116547734,-9.161801465114845
19.15556131255304,-9.156032283019679
19.149326135167396,-9.150264313259397
19.14309058428244,-9.144497556514018
19.136854659789666,-9.138732013464518
19.130618361580893,-9.132967684791288
19.124381689547786,-9.12720457117574
19.118144643582205,-9.121442673299137
19.11190722357603,-9.115681991843173
19.105669429420995,-9.109922527490516
19.09943126100908,-9.104164280923548
19.093192718232338,-9.098407252824881
19.08695380098287,-9.092651443877493
19.08071450915259,-9.086896854765442
19.074474842633727,-9.081143486172298
19.06823480131849,-9.075391338782168
19.06199438509906,-9.069640413279771
19.05575359386772,-9.063890710349963
19.049512427516813,-9.05814223067795
19.043270885938703,-9.052394974949346
19.03702896902599,-9.046648943849496
19.030786676670918,-9.04090413806542
19.02454400876617,-9.035160558283197
19.018300965204265,-9.029418205189971
19.01205754587802,-9.023677079472396
19.005813750679895,-9.017937181818793
18.99956957950269,-9.012198512916902
18.99332503223924,-9.006461073454833
18.987080108782436,-9.000724864121045
18.98083480902509,-8.994989885604742
18.974589132860118,-8.989256138595316
18.968343080180723,-8.983523623781698
18.962096650879857,-8.977792341854189
18.955849844850547,-8.972062293503324
18.94960266198597,-8.966333479419669
18.943355102179368,-8.960605900294105
18.937107165324015,-8.954879556817888
18.930858851313232,-8.949154449682657
18.924610160040363,-8.943430579580479
18.918361091398925,-8.937707947203373
18.91211164528224,-8.931986553244505
18.90586182158393,-8.926266398396594
18.8996116201976,-8.920547483352882
18.89336104101682,-8.9148298088073
18.88711008393543,-8.909113375453368
18.880858748846904,-8.903398183986345
18.874607035645436,-8.89768423509964
18.868354944224578,-8.891971529489274
18.862102474478284,-8.886260067850497
18.855849626300508,-8.880549850879056
18.849596399585376,-8.874840879270643
18.843342794226945,-8.869133153721721
18.837088810119376,-8.863426674928931
18.830834447156715,-8.857721443589801
18.824579705233194,-8.85201746040177
18.818324584243353,-8.8463147260618
18.812069084081323,-8.840613241268704
18.805813204641648,-8.834913006720472
